product_name,price,rating,review_count,url,score
"LG 43"" UT8000 Series 4K UHD HDR LED webOS 24 Smart TV (43UT8000PUA) - 2024 - Only at Best Buy",399.99,4.38,243,/en-ca/product/lg-43-ut8000-series-4k-uhd-hdr-led-webos-24-smart-tv-43ut8000pua-2024-only-at-best-buy/17924092,99.828
"Samsung 77"" S90D Series 4K UHD HDR OLED Tizen Smart TV (QN77S90DAFXZC) - 2024 - Graphite Black",2996.98,4.61,237,/en-ca/product/samsung-77-s90d-series-4k-uhd-hdr-oled-tizen-smart-tv-qn77s90dafxzc-2024-graphite-black/17903777,97.56600000000002
"Sony Bravia 9 65"" XR90 Series 4K UHD HDR Mini LED QLED Smart Google TV (K65XR90B) - 2024",3799.99,4.65,136,/en-ca/product/sony-bravia-9-65-xr90-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-k65xr90b-2024/17909544,57.190000000000005
"Samsung 32"" 720p HD HDR LED Tizen Smart TV (UN32H5000FFXZC) - 2025",199.99,4.8,131,/en-ca/product/samsung-32-720p-hd-hdr-led-tizen-smart-tv-un32h5000ffxzc-2025/19204881,55.28000000000001
Samsung The Freestyle 1080p LED Portable Home Theatre Projector (SP-LFF3CLAXXZC) - White,899.99,4.08,119,/en-ca/product/samsung-the-freestyle-1080p-led-portable-home-theatre-projector-sp-lff3claxxzc-white/17176961,50.048
"Samsung 55"" Q8F Series 4K UHD HDR QLED Tizen Smart TV (QN55Q8FAAFXZC) - 2025",899.99,4.68,92,/en-ca/product/samsung-55-q8f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn55q8faafxzc-2025/19206116,39.608000000000004
"Samsung 65"" Q8F Series 4K UHD HDR QLED Tizen Smart TV (QN65Q8FAAFXZC) - 2025",1199.99,4.78,83,/en-ca/product/samsung-65-q8f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn65q8faafxzc-2025/19206115,36.068000000000005
"Samsung 75"" Q8F Series 4K UHD HDR QLED Tizen Smart TV (QN75Q8FAAFXZC) - 2025",1499.99,4.78,72,/en-ca/product/samsung-75-q8f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn75q8faafxzc-2025/19206114,31.668
Google TV Streamer (4K) - Porcelain,129.99,4.34,68,/en-ca/product/google-tv-streamer-4k-porcelain/17970356,29.804000000000002
"TCL QM6K-Series 65"" QM6K Series 4K UHD HDR QD-Mini LED Smart Google TV (65QM6K) - 2025",899.99,4.78,63,/en-ca/product/tcl-qm6k-series-65-qm6k-series-4k-uhd-hdr-qd-mini-led-smart-google-tv-65qm6k-2025/18985111,28.068
"Samsung 65"" U8000F Series 4K UHD HDR LED Tizen Smart TV (UN65U8000FFXZC) - 2025",799.99,4.48,54,/en-ca/product/samsung-65-u8000f-series-4k-uhd-hdr-led-tizen-smart-tv-un65u8000ffxzc-2025/19204866,24.288
Sony Bravia Cam for Bravia XR TVs (CMU-BC1),299.99,3.81,54,/en-ca/product/sony-bravia-cam-for-bravia-xr-tvs-cmu-bc1/19182230,23.886000000000003
"Samsung 43"" U8000F Series 4K UHD HDR LED Tizen Smart TV (UN43U8000FFXZC) - 2025",429.99,4.61,49,/en-ca/product/samsung-43-u8000f-series-4k-uhd-hdr-led-tizen-smart-tv-un43u8000ffxzc-2025/19204870,22.366
"Samsung 32"" 1080p HD HDR LED Tizen Smart TV (UN32F6000FFXZC) - 2025",279.99,4.45,44,/en-ca/product/samsung-32-1080p-hd-hdr-led-tizen-smart-tv-un32f6000ffxzc-2025/19204880,20.270000000000003
